Mês,Total de posts,a,b,c,d,e,f,g,h,i,j,k,l,m,n
Março (depois de 20),6,"0,00%","100,00%","0,00%","0,00%","0,00%","100,00%","33,33%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","33,33%"
Abril,19,"42,11%","68,42%","5,26%","31,58%","0,00%","78,95%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","31,58%"
Maio,14,"14,29%","85,71%","0,00%","21,43%","14,29%","71,43%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","28,57%"
Junho,14,"28,57%","71,43%","7,14%","28,57%","21,43%","71,43%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","14,29%"
Julho,28,"10,71%","89,29%","0,00%","17,86%","3,57%","71,43%","0,00%","100,00%","0,00%","0,00%","0,00%","17,86%","0,00%","14,29%"
Agosto,24,"25,00%","75,00%","8,33%","41,67%","25,00%","45,83%","0,00%","100,00%","4,17%","0,00%","0,00%","0,00%","0,00%","8,33%"
Setembro,42,"26,19%","73,81%","0,00%","38,10%","7,14%","45,24%","2,38%","100,00%","0,00%","0,00%","2,38%","4,76%","0,00%","16,67%"
Outubro,37,"24,32%","78,38%","5,41%","32,43%","5,41%","45,95%","2,70%","100,00%","0,00%","0,00%","0,00%","2,70%","2,70%","10,81%"
Novembro,25,"24,00%","76,00%","0,00%","24,00%","4,00%","68,00%","0,00%","100,00%","0,00%","0,00%","0,00%","12,00%","0,00%","48,00%"
Dezembro,15,"40,00%","60,00%","13,33%","26,67%","0,00%","93,33%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","33,33%"
Janeiro,14,"28,57%","78,57%","7,14%","57,14%","7,14%","28,57%","0,00%","100,00%","0,00%","0,00%","0,00%","14,29%","0,00%","7,14%"
Fevereiro,27,"22,22%","77,78%","7,41%","70,37%","3,70%","55,56%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","7,41%"
Março (antes de 20),18,"27,78%","77,78%","0,00%","33,33%","5,56%","77,78%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","44,44%"
