Mês,Vídeos,Imagens,Throwbacks,Pessoal,Maternidade,Relacionado com sua produção musical,Anúncio de lives,Conhecimento originário ou latinoamericano,Trabalho como pesquisadora e educadora,Challenges,Recomendações,Pede interação dos seguidores na legenda,Posts de formato (como chamar?),Anúncio de eventos ao vivo,,Total de posts
Março (após 20),"42,86%","57,14%","28,57%","71,43%","0,00%","85,71%","28,57%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,7
Abril,"42,86%","57,14%","9,52%","28,57%","9,52%","61,90%","23,81%","100,00%","0,00%","4,76%","9,52%","28,57%","0,00%","0,00%",,21
Maio,"42,11%","63,16%","0,00%","52,63%","26,32%","63,16%","47,37%","100,00%","0,00%","0,00%","0,00%","31,58%","0,00%","0,00%",,19
Junho,"22,22%","77,78%","22,22%","66,67%","11,11%","33,33%","0,00%","100,00%","0,00%","0,00%","0,00%","11,11%","0,00%","0,00%",,9
Julho,"50,00%","62,50%","12,50%","75,00%","0,00%","75,00%","12,50%","100,00%","12,50%","0,00%","0,00%","0,00%","12,50%","0,00%",,8
Agosto,"21,05%","78,95%","10,53%","68,42%","0,00%","57,89%","31,58%","100,00%","0,00%","0,00%","0,00%","15,79%","0,00%","0,00%",,19
Setembro,"23,08%","76,92%","7,69%","46,15%","0,00%","69,23%","38,46%","100,00%","0,00%","0,00%","7,69%","30,77%","0,00%","0,00%",,13
Outubro,"33,33%","66,67%","9,52%","19,05%","0,00%","90,48%","4,76%","100,00%","9,52%","0,00%","0,00%","33,33%","0,00%","0,00%",,21
Novembro,"43,75%","56,25%","12,50%","56,25%","6,25%","62,50%","18,75%","100,00%","0,00%","0,00%","0,00%","12,50%","0,00%","0,00%",,16
Dezembro,"26,32%","78,95%","5,26%","63,16%","0,00%","57,89%","15,79%","100,00%","0,00%","0,00%","0,00%","21,05%","0,00%","0,00%",,19
Janeiro,"60,00%","40,00%","0,00%","40,00%","0,00%","80,00%","40,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,5
Fevereiro,"75,00%","25,00%","0,00%","50,00%","25,00%","100,00%","0,00%","100,00%","0,00%","0,00%","0,00%","25,00%","0,00%","0,00%",,4
Março (até 20),"18,18%","81,82%","0,00%","54,55%","9,09%","45,45%","36,36%","100,00%","9,09%","0,00%","0,00%","0,00%","9,09%","0,00%",,11
