Vídeos,"42,86%","42,86%","42,11%","22,22%","50,00%","21,05%","23,08%","33,33%","43,75%","26,32%","60,00%","75,00%","18,18%"
Imagens,"57,14%","57,14%","63,16%","77,78%","62,50%","78,95%","76,92%","66,67%","56,25%","78,95%","40,00%","25,00%","81,82%"
Throwbacks pré-pandêmicos,"28,57%","9,52%","0,00%","22,22%","12,50%","10,53%","7,69%","9,52%","12,50%","5,26%","0,00%","0,00%","0,00%"
Pessoal,"71,43%","28,57%","52,63%","66,67%","75,00%","68,42%","46,15%","19,05%","56,25%","63,16%","40,00%","50,00%","54,55%"
Maternidade,"0,00%","9,52%","26,32%","11,11%","0,00%","0,00%","0,00%","0,00%","6,25%","0,00%","0,00%","25,00%","9,09%"
Relacionado com sua produção musical,"85,71%","61,90%","63,16%","33,33%","75,00%","57,89%","69,23%","90,48%","62,50%","57,89%","80,00%","100,00%","45,45%"
Anúncio de lives,"28,57%","23,81%","47,37%","0,00%","12,50%","31,58%","38,46%","4,76%","18,75%","15,79%","40,00%","0,00%","36,36%"
Conhecimento originário ou latinoamericano,"0,00%","9,52%","15,79%","44,44%","37,50%","15,79%","30,77%","9,52%","0,00%","10,53%","20,00%","25,00%","27,27%"
Crítica social (geral),"0,00%","9,52%","26,32%","55,56%","37,50%","15,79%","23,08%","19,05%","6,25%","5,26%","20,00%","25,00%","27,27%"
Trabalho como pesquisadora e educadora,"0,00%","0,00%","0,00%","0,00%","12,50%","0,00%","0,00%","9,52%","0,00%","0,00%","0,00%","0,00%","9,09%"
Challenges,"0,00%","4,76%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
Recomendações,"0,00%","9,52%","0,00%","0,00%","0,00%","0,00%","7,69%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%"
Pede interação dos seguidores na legenda,"0,00%","28,57%","31,58%","11,11%","0,00%","15,79%","30,77%","33,33%","12,50%","21,05%","0,00%","25,00%","0,00%"
Posts de formato novo,"0,00%","0,00%","0,00%","0,00%","12,50%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","9,09%"
