Data,a,b,c,d,e,f,g,h,i,j,k,l,m,n
22/03/2019,,Sim,,,,Sim,Sim,Sim,,,,,,
22/03/2019,,Sim,,,,Sim,Sim,Sim,,,,,,
23/03/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
25/03/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
28/03/2019,,Sim,,,,Sim,,Sim,,,,,,
29/03/2019,,Sim,,,,Sim,,Sim,,,,,,
01/04/2019,Sim,Sim,,,,Sim,,Sim,,,,,,
02/04/2019,Sim,,,,,Sim,,Sim,,,,,,
02/04/2019,Sim,,,,,Sim,,Sim,,,,,,
04/04/2019,,Sim,,Sim,,Sim,,Sim,,,,,,
06/04/2019,,Sim,,Sim,,,,Sim,,,,,,
08/04/2019,,Sim,,Sim,,,,Sim,,,,,,
12/04/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
13/04/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
14/04/2019,,Sim,,,,Sim,,Sim,,,,,,
18/04/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
18/04/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
20/04/2019,,Sim,,Sim,,,,Sim,,,,,,
21/04/2019,Sim,,,,,Sim,,Sim,,,,,,
22/04/2019,Sim,,,Sim,,Sim,,Sim,,,,,,
25/04/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
26/04/2019,,Sim,Sim,,,Sim,,Sim,,,,,,Sim
27/04/2019,,Sim,,,,Sim,,Sim,,,,,,
29/04/2019,,Sim,,Sim,,,,Sim,,,,,,
30/04/2019,Sim,Sim,,,,Sim,,Sim,,,,,,
02/05/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
03/05/2019,,Sim,,,,Sim,,Sim,,,,,,
06/05/2019,Sim,,,,,Sim,,Sim,,,,,,
12/05/2019,,Sim,,Sim,Sim,,,Sim,,,,,,
13/05/2019,,Sim,,Sim,,,,Sim,,,,,,
15/05/2019,,Sim,,,,,,Sim,,,,,,
16/05/2019,,Sim,,,,Sim,,Sim,,,,,,
17/05/2019,,Sim,,,,Sim,,Sim,,,,,,
