Publicações,a,b,c,d,e,f,g,h,i,j,k,l,m,n
20/03/2020,,Sim,,Sim,,Sim,Sim,Sim,,,,,,
21/03/2020,Sim,,,Sim,,Sim,,Sim,,,,,,
23/03/2020,,Sim,,Sim,,,,Sim,,,,,,
26/03/2020,Sim,,Sim,,,Sim,,Sim,,,,,,
27/03/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
28/03/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
31/03/2020,Sim,,Sim,,,Sim,Sim,Sim,,,,,,
01/04/2020,Sim,,,,,,,Sim,,Sim,,,,
02/04/2020,,Sim,,Sim,,,,Sim,,,,,,
05/04/2020,,Sim,,,,,,Sim,,,Sim,,,
06/04/2020,,Sim,,Sim,Sim,,,Sim,,,,,,
08/04/2020,,Sim,,,,,,Sim,,,,,,
09/04/2020,Sim,,Sim,,,,,Sim,,,,,,
10/04/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
12/04/2020,,Sim,,Sim,,Sim,Sim,Sim,,,Sim,Sim,,
13/04/2020,Sim,,,,,Sim,,Sim,,,,,,
15/04/2020,Sim,,Sim,,,Sim,,Sim,,,,,,
16/04/2020,Sim,,,Sim,,Sim,Sim,Sim,,,,,,
19/04/2020,,Sim,,,,,,Sim,,,,,,
20/04/2020,Sim,,,,,Sim,,Sim,,,,,,
21/04/2020,,Sim,,Sim,,Sim,,Sim,,,,Sim,,
23/04/2020,Sim,,,,,Sim,,Sim,,,,,,
24/04/2020,Sim,,,,,Sim,Sim,Sim,,,,,,
24/04/2020,,Sim,,Sim,,Sim,,Sim,,,,Sim,,
25/04/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
26/04/2020,Sim,,,,,Sim,,Sim,,,,,,
28/04/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
30/04/2020,,Sim,,,Sim,,Sim,Sim,,,,Sim,,
01/05/2020,,Sim,,,,Sim,,Sim,,,,,,
05/05/2020,Sim,,,,,Sim,,Sim,,,,,,
06/05/2020,,Sim,,Sim,,Sim,Sim,Sim,,,,Sim,,
07/05/2020,,Sim,,,,,Sim,Sim,,,,,,
09/05/2020,,Sim,,,,Sim,Sim,Sim,,,,Sim,,
10/05/2020,Sim,,,Sim,Sim,Sim,,Sim,,,,,,
14/05/2020,,Sim,,Sim,Sim,,Sim,Sim,,,,,,
17/05/2020,,Sim,,Sim,,,,Sim,,,,,,
18/05/2020,Sim,,,Sim,Sim,,,Sim,,,,,,
20/05/2020,,Sim,,Sim,Sim,,Sim,Sim,,,,,,
22/05/2020,Sim,,,Sim,,Sim,,Sim,,,,,,
23/05/2020,Sim,,,,,Sim,Sim,Sim,,,,,,
24/05/2020,,Sim,,,,Sim,Sim,Sim,,,,Sim,,
26/05/2020,,Sim,,Sim,,,,Sim,,,,Sim,,
26/05/2020,,Sim,,Sim,,,,Sim,,,,,,
27/05/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
29/05/2020,Sim,Sim,,,,Sim,Sim,Sim,,,,,,
29/05/2020,Sim,,,,Sim,Sim,Sim,Sim,,,,,,
31/05/2020,Sim,,,Sim,,Sim,,Sim,,,,Sim,,
01/06/2020,,Sim,,Sim,,,,Sim,,,,,,
01/06/2020,,Sim,,Sim,,,,Sim,,,,,,
04/06/2020,Sim,,Sim,,Sim,,,Sim,,,,,,
11/06/2020,Sim,,Sim,,,Sim,,Sim,,,,,,
19/06/2020,,Sim,,Sim,,,,Sim,,,,,,
20/06/2020,,Sim,,Sim,,,,Sim,,,,,,
23/06/2020,,Sim,,Sim,,,,Sim,,,,,,
25/06/2020,,Sim,,,,Sim,,Sim,,,,,,
29/06/2020,,Sim,,Sim,,Sim,,Sim,,,,Sim,,
01/07/2020,Sim,,,Sim,,Sim,,Sim,,,,,Sim,
06/07/2020,Sim,Sim,,Sim,,Sim,,Sim,,,,,,
08/07/2020,,Sim,,Sim,,,,Sim,,,,,,
12/07/2020,,Sim,Sim,Sim,,Sim,,Sim,,,,,,
16/07/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
19/07/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
22/07/2020,Sim,,,,,Sim,,Sim,,,,,,
31/07/2020,Sim,,,Sim,,,,Sim,Sim,,,,,
05/08/2020,,Sim,,Sim,,,,Sim,,,,,,
06/08/2020,,Sim,Sim,Sim,,Sim,,Sim,,,,,,
07/08/2020,,Sim,,Sim,,Sim,Sim,Sim,,,,Sim,,
08/08/2020,,Sim,,,,Sim,Sim,Sim,,,,Sim,,
09/08/2020,,Sim,,Sim,,,,Sim,,,,,,
10/08/2020,,Sim,,Sim,,,,Sim,,,,,,
13/08/2020,,Sim,Sim,Sim,,,,Sim,,,,,,
16/08/2020,Sim,,,Sim,,,,Sim,,,,,,
17/08/2020,,Sim,,Sim,,,,Sim,,,,,,
18/08/2020,,Sim,,Sim,,Sim,,Sim,,,,Sim,,
19/08/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
20/08/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
21/08/2020,Sim,,,Sim,,,,Sim,,,,,,
22/08/2020,,Sim,,Sim,,,,Sim,,,,,,
26/08/2020,Sim,,,,,Sim,,Sim,,,,,,
